Date,Product,Sales
2026-05-01,Premier Coffee Mix,8500
2026-05-02,Royal Milk Tea,9200
2026-05-03,MaMa Instant Noodles,6400
2026-05-04,Myanmar Beer,15000
2026-05-05,Shwe Bo Paw San Rice,24000
2026-05-06,Sunflower Seeds,3500
2026-05-07,Ngapi,5000
2026-05-08,Premier Coffee Mix,9000
2026-05-09,Royal Milk Tea,9800
2026-05-10,MaMa Instant Noodles,7000
2026-05-11,Myanmar Beer,17500
2026-05-12,Shwe Bo Paw San Rice,25500
2026-05-13,Sunflower Seeds,3800
2026-05-14,Ngapi,5500
2026-05-15,Premier Coffee Mix,9500
2026-05-16,Royal Milk Tea,10400
2026-05-17,MaMa Instant Noodles,7500
2026-05-18,Myanmar Beer,19000
2026-05-19,Shwe Bo Paw San Rice,27000
2026-05-20,Sunflower Seeds,4200
2026-05-21,Ngapi,6000
2026-05-22,Premier Coffee Mix,10000
2026-05-23,Royal Milk Tea,11000
2026-05-24,MaMa Instant Noodles,8000
2026-05-25,Myanmar Beer,21000
2026-05-26,Shwe Bo Paw San Rice,28500
2026-05-27,Sunflower Seeds,4500
2026-05-28,Ngapi,6500
